1,16,50,7,813

2,16,50,9,233

3,16,50,10,200

4,16,50,11,277

5,16,50,12,353

6,16,50,13,757

7,16,50,15,161

8,16,50,16,253

9,16,50,17,454

10,16,50,18,858

11,16,50,19,919

12,16,50,20,917

13,16,50,22,119

14,16,50,23,647

15,16,50,24,724

16,16,50,25,769

17,16,50,27,17

18,16,50,28,686

19,16,50,29,763

20,16,50,30,792

21,16,50,32,56

22,16,50,33,570

23,16,50,34,975

24,16,50,36,145

25,16,50,37,284

26,16,50,38,719

27,16,50,39,889

28,16,50,41,121

29,16,50,42,307

30,16,50,43,711

31,16,50,44,881

32,16,50,46,67

33,16,50,47,393

34,16,50,48,781

35,16,50,50,13

36,16,50,51,199

37,16,50,52,587

38,16,50,53,820

39,16,50,55,130

40,16,50,56,175

41,16,50,57,423

42,16,50,58,687

43,16,50,59,982

44,16,51,1,11

45,16,51,2,135

46,16,51,3,539

47,16,51,4,662

48,16,51,5,910

49,16,51,7,95

50,16,51,8,577

51,16,51,9,716

52,16,51,10,886

53,16,51,12,103

54,16,51,13,414

55,16,51,14,506

56,16,51,15,941

57,16,51,17,33

58,16,51,18,546

59,16,51,19,591

60,16,51,20,683

61,16,51,21,791

62,16,51,23,273

63,16,51,24,334

64,16,51,25,457

65,16,51,26,798

66,16,51,28,235

-------------------------------------------------

