1,16,41,5,773

2,16,41,7,677

3,16,41,8,753

4,16,41,9,845

5,16,41,11,62

6,16,41,12,669

7,16,41,13,885

8,16,41,15,102

9,16,41,16,397

10,16,41,17,786

11,16,41,19,67

12,16,41,20,439

13,16,41,21,781

14,16,41,23,466

15,16,41,24,823

16,16,41,26,259

17,16,41,27,788

18,16,41,29,301

19,16,41,30,752

20,16,41,32,78

21,16,41,33,591

22,16,41,35,151

23,16,41,36,820

24,16,41,38,100

25,16,41,39,691

26,16,41,41,344

27,16,41,42,764

28,16,41,44,75

29,16,41,45,603

30,16,41,47,195

31,16,41,48,723

32,16,41,50,81

33,16,41,51,594

34,16,41,52,982

35,16,41,54,605

36,16,41,55,853

37,16,41,57,288

38,16,41,58,770

39,16,42,0,361

40,16,42,1,484

41,16,42,2,841

42,16,42,4,526

43,16,42,5,852

44,16,42,7,100

45,16,42,8,473

46,16,42,10,127

47,16,42,11,593

48,16,42,13,232

49,16,42,14,730

50,16,42,16,180

51,16,42,17,725

52,16,42,18,910

53,16,42,20,190

54,16,42,21,921

55,16,42,23,388

56,16,42,24,901

57,16,42,26,258

58,16,42,27,818

59,16,42,29,175

60,16,42,30,517

61,16,42,31,765

62,16,42,33,231

63,16,42,34,635

64,16,42,36,24

65,16,42,37,412

66,16,42,39,190

-------------------------------------------------

